id,timestamp,sensor,scene_id,region,sub_region,class,detection_confidence,slick_confidence,area_km2,age_estimate_hours,centroid_lat,centroid_lon,polygon_wkt,hitl_reviewed
SLK-0130,2019-01-13T16:39:05Z,Sentinel-1B,Sentinel1B_20190113_163905_323,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.784,0.788,9.066,81.7,34.10564,27.88715,"POLYGON((27.90517 34.10699, 27.89842 34.12097, 27.87457 34.11999, 27.86894 34.10566, 27.87769 34.0878, 27.89594 34.09099, 27.90517 34.10699))",False
SLK-0045,2019-01-13T16:39:43Z,Sentinel-1B,Sentinel1B_20190113_163943_231,Eastern Mediterranean Sea,dense_oil_zone,natural_seep,0.981,0.522,2.866,51.0,31.78304,30.37103,"POLYGON((30.38108 31.78413, 30.37803 31.78722, 30.37361 31.78959, 30.363 31.7917, 30.36434 31.78586, 30.36304 31.77993, 30.36729 31.77573, 30.37241 31.77703, 30.38105 31.77615, 30.38108 31.78413))",True
SLK-0006,2019-01-13T16:40:38Z,Sentinel-1B,Sentinel1B_20190113_164038_769,Eastern Mediterranean Sea,full_coverage,recent_vessel,0.854,0.794,21.953,10.8,35.87661,32.72804,"POLYGON((32.76345 35.87976, 32.74913 35.89058, 32.73858 35.90388, 32.71634 35.89776, 32.69251 35.88334, 32.70277 35.87202, 32.71323 35.8521, 32.73188 35.85185, 32.75544 35.85745, 32.76345 35.87976))",False
SLK-0035,2019-01-17T16:36:53Z,Sentinel-1A,Sentinel1A_20190117_163653_454,Eastern Mediterranean Sea,full_coverage,recent_vessel,0.888,0.83,12.093,84.9,36.32046,30.75694,"POLYGON((30.78128 36.31921, 30.7687 36.33443, 30.74445 36.33658, 30.74147 36.32166, 30.74768 36.30941, 30.76552 36.3087, 30.78128 36.31921))",False
SLK-0090,2019-02-01T04:09:59Z,Sentinel-1A,Sentinel1A_20190201_040959_256,Eastern Mediterranean Sea,full_coverage,recent_vessel,0.939,0.853,20.91,33.0,35.04228,34.69278,"POLYGON((34.71994 35.0397, 34.70657 35.06145, 34.68838 35.07035, 34.66053 35.0562, 34.66967 35.03621, 34.68558 35.0132, 34.70969 35.02698, 34.71994 35.0397))",False
SLK-0055,2019-02-01T04:15:26Z,Sentinel-1A,Sentinel1A_20190201_041526_758,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.933,0.515,7.516,16.6,32.96773,33.65015,"POLYGON((33.66433 32.96817, 33.66226 32.9764, 33.64829 32.98515, 33.6372 32.97741, 33.63568 32.96867, 33.63523 32.95739, 33.65064 32.95541, 33.65943 32.96119, 33.66433 32.96817))",False
SLK-0062,2019-02-05T04:11:06Z,Sentinel-1B,Sentinel1B_20190205_041106_428,Eastern Mediterranean Sea,dense_oil_zone,ambiguous,0.889,0.387,19.972,9.7,32.10233,33.41138,"POLYGON((33.43685 32.10313, 33.43897 32.11701, 33.41423 32.11858, 33.39397 32.12591, 33.38058 32.11174, 33.38305 32.09579, 33.39463 32.07792, 33.41673 32.08564, 33.43091 32.08439, 33.43685 32.10313))",False
SLK-0079,2019-02-05T04:11:38Z,Sentinel-1B,Sentinel1B_20190205_041138_284,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.701,0.681,15.295,67.4,32.21731,28.32693,"POLYGON((28.34787 32.21602, 28.33972 32.22771, 28.32242 32.23143, 28.30193 32.23135, 28.30769 32.20885, 28.31882 32.19764, 28.34008 32.20683, 28.34787 32.21602))",False
SLK-0118,2019-02-05T04:12:41Z,Sentinel-1B,Sentinel1B_20190205_041241_106,Eastern Mediterranean Sea,full_coverage,recent_vessel,0.899,0.795,13.05,40.0,34.69494,28.66201,"POLYGON((28.68462 34.69382, 28.674 34.70771, 28.6502 34.71423, 28.64194 34.69472, 28.65118 34.68298, 28.67422 34.6736, 28.68462 34.69382))",False
SLK-0019,2019-02-11T16:39:31Z,Sentinel-1B,Sentinel1B_20190211_163931_428,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.75,0.78,19.923,63.7,33.64855,32.4419,"POLYGON((32.4692 33.65168, 32.4557 33.6649, 32.43873 33.66697, 32.41598 33.65632, 32.4099 33.63736, 32.43461 33.63076, 32.45316 33.6357, 32.4692 33.65168))",False
SLK-0059,2019-02-15T04:12:50Z,Sentinel-1B,Sentinel1B_20190215_041250_557,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.747,0.586,10.605,67.4,33.68949,30.55066,"POLYGON((30.56936 33.68967, 30.56424 33.70608, 30.53638 33.70572, 30.53328 33.68777, 30.5377 33.67286, 30.56218 33.67312, 30.56936 33.68967))",False
SLK-0056,2019-02-23T04:10:02Z,Sentinel-1B,Sentinel1B_20190223_041002_573,Eastern Mediterranean Sea,dense_oil_zone,recent_vessel,0.781,0.704,18.146,86.6,32.15993,32.35542,"POLYGON((32.37411 32.15825, 32.36613 32.17287, 32.3469 32.17965, 32.33752 32.17019, 32.33334 32.14789, 32.34679 32.13988, 32.36888 32.14863, 32.37411 32.15825))",True
SLK-0004,2019-02-27T16:35:19Z,Sentinel-1B,Sentinel1B_20190227_163519_944,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.916,0.66,6.49,51.1,31.93942,34.4925,"POLYGON((34.50322 31.93955, 34.50252 31.95021, 34.48535 31.9535, 34.4764 31.93828, 34.48173 31.92555, 34.50079 31.92869, 34.50322 31.93955))",True
SLK-0070,2019-03-10T16:36:42Z,Sentinel-1B,Sentinel1B_20190310_163642_781,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.817,0.641,21.157,13.6,32.49505,32.07126,"POLYGON((32.1051 32.49875, 32.08982 32.51926, 32.05685 32.51596, 32.04458 32.49227, 32.05558 32.47306, 32.08546 32.4792, 32.1051 32.49875))",False
SLK-0033,2019-03-10T16:36:59Z,Sentinel-1B,Sentinel1B_20190310_163659_667,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.876,0.901,17.276,94.6,32.363,31.81229,"POLYGON((31.83243 32.36175, 31.83074 32.37597, 31.81487 32.38669, 31.79957 32.37798, 31.79039 32.36702, 31.79416 32.35776, 31.79902 32.34041, 31.81444 32.3417, 31.83239 32.35087, 31.83243 32.36175))",False
SLK-0034,2019-03-10T16:38:38Z,Sentinel-1B,Sentinel1B_20190310_163838_717,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.812,0.99,10.775,66.7,34.44312,28.6778,"POLYGON((28.69335 34.44215, 28.69062 34.45235, 28.67848 34.46313, 28.66152 34.45793, 28.65328 34.44093, 28.66302 34.43013, 28.67903 34.42963, 28.69449 34.43132, 28.69335 34.44215))",True
SLK-0102,2019-03-15T04:13:11Z,Sentinel-1A,Sentinel1A_20190315_041311_677,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.903,0.809,9.573,9.2,35.65179,31.72337,"POLYGON((31.74134 35.65302, 31.74018 35.6662, 31.72939 35.67118, 31.71539 35.6621, 31.7087 35.65587, 31.70693 35.64634, 31.71685 35.64002, 31.73047 35.6336, 31.73985 35.64188, 31.74134 35.65302))",False
SLK-0087,2019-03-15T04:14:06Z,Sentinel-1A,Sentinel1A_20190315_041406_326,Eastern Mediterranean Sea,full_coverage,ambiguous,0.716,0.309,18.868,53.2,31.47632,28.68077,"POLYGON((28.70909 31.47551, 28.69864 31.49023, 28.68349 31.50209, 28.66816 31.49192, 28.65466 31.48323, 28.6605 31.46886, 28.66522 31.45863, 28.68655 31.45385, 28.70027 31.45961, 28.70909 31.47551))",True
SLK-0014,2019-03-19T04:10:54Z,Sentinel-1B,Sentinel1B_20190319_041054_859,Eastern Mediterranean Sea,dense_oil_zone,infrastructure,0.907,0.756,8.15,78.6,32.24745,33.89926,"POLYGON((33.92136 32.24909, 33.9068 32.25693, 33.89657 32.25859, 33.88408 32.25324, 33.88728 32.24112, 33.89556 32.2314, 33.91068 32.23233, 33.92136 32.24909))",False
SLK-0040,2019-03-28T16:37:47Z,Sentinel-1B,Sentinel1B_20190328_163747_718,Eastern Mediterranean Sea,dense_oil_zone,natural_seep,0.718,0.576,6.098,86.8,34.67994,31.30063,"POLYGON((31.31836 34.68108, 31.30907 34.68997, 31.29244 34.6891, 31.2855 34.6812, 31.29554 34.67033, 31.30821 34.67071, 31.31836 34.68108))",False
SLK-0107,2019-03-28T16:41:06Z,Sentinel-1B,Sentinel1B_20190328_164106_970,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.958,0.818,6.604,43.7,35.73814,28.62612,"POLYGON((28.64377 35.73677, 28.64286 35.74696, 28.63065 35.75328, 28.61431 35.75047, 28.61229 35.74405, 28.60877 35.7324, 28.61527 35.72389, 28.62818 35.72653, 28.64175 35.7277, 28.64377 35.73677))",False
SLK-0002,2019-04-02T16:38:13Z,Sentinel-1B,Sentinel1B_20190402_163813_880,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.95,0.605,5.821,75.5,34.16867,34.11481,"POLYGON((34.13194 34.16825, 34.12524 34.1783, 34.11592 34.17802, 34.10779 34.18211, 34.10348 34.17124, 34.10425 34.16459, 34.10724 34.15457, 34.11719 34.15807, 34.12953 34.15998, 34.13194 34.16825))",False
SLK-0071,2019-04-02T16:40:31Z,Sentinel-1B,Sentinel1B_20190402_164031_199,Eastern Mediterranean Sea,dense_oil_zone,natural_seep,0.733,0.521,4.069,68.0,32.99414,32.61148,"POLYGON((32.62334 32.9927, 32.61966 33.00553, 32.60903 33.00502, 32.60138 32.99865, 32.5993 32.99, 32.60853 32.98572, 32.61854 32.98533, 32.62334 32.9927))",False
SLK-0009,2019-04-06T04:09:57Z,Sentinel-1A,Sentinel1A_20190406_040957_678,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.964,0.956,17.706,82.7,33.42787,32.9843,"POLYGON((33.00982 33.4272, 32.99513 33.44082, 32.97073 33.4497, 32.9584 33.42592, 32.9734 33.41525, 33.0006 33.40371, 33.00982 33.4272))",False
SLK-0065,2019-04-06T04:11:31Z,Sentinel-1A,Sentinel1A_20190406_041131_408,Eastern Mediterranean Sea,full_coverage,ambiguous,0.911,0.372,19.617,64.5,34.98138,34.47368,"POLYGON((34.49653 34.98352, 34.48569 34.99387, 34.46527 35.00508, 34.44368 34.99377, 34.45102 34.97237, 34.46752 34.96579, 34.49204 34.96051, 34.49653 34.98352))",True
SLK-0053,2019-04-06T04:11:45Z,Sentinel-1A,Sentinel1A_20190406_041145_876,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.943,0.421,5.69,11.6,33.15371,30.78393,"POLYGON((30.80023 33.15426, 30.7901 33.16138, 30.77487 33.16437, 30.76901 33.1526, 30.77853 33.14578, 30.79317 33.14174, 30.80023 33.15426))",False
SLK-0129,2019-04-06T04:12:18Z,Sentinel-1A,Sentinel1A_20190406_041218_367,Eastern Mediterranean Sea,dense_oil_zone,recent_vessel,0.875,0.833,20.956,27.0,31.84056,33.79818,"POLYGON((33.83043 31.83901, 33.81107 31.85452, 33.78981 31.8643, 33.77816 31.85081, 33.76618 31.83038, 33.79061 31.81942, 33.80927 31.8251, 33.83043 31.83901))",False
SLK-0012,2019-04-06T04:12:50Z,Sentinel-1A,Sentinel1A_20190406_041250_146,Eastern Mediterranean Sea,full_coverage,recent_vessel,0.891,0.99,7.753,89.9,36.10402,28.36773,"POLYGON((28.3855 36.10283, 28.37541 36.11273, 28.36196 36.11399, 28.35156 36.10564, 28.36059 36.09347, 28.37679 36.09197, 28.3855 36.10283))",False
SLK-0007,2019-04-17T16:36:45Z,Sentinel-1A,Sentinel1A_20190417_163645_840,Eastern Mediterranean Sea,full_coverage,old_vessel,0.935,0.756,0.096,48.0,33.26921,29.50048,"POLYGON((29.50247 33.26919, 29.50122 33.27049, 29.49916 33.27092, 29.49874 33.26903, 29.49956 33.26771, 29.50109 33.26803, 29.50247 33.26919))",False
SLK-0123,2019-04-17T16:37:23Z,Sentinel-1A,Sentinel1A_20190417_163723_515,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.979,0.792,19.84,59.9,34.00976,34.51844,"POLYGON((34.54391 34.00824, 34.54268 34.023, 34.52336 34.02754, 34.50771 34.02968, 34.49489 34.02018, 34.49266 34.00484, 34.50244 33.98611, 34.52205 33.98872, 34.53293 33.99695, 34.54391 34.00824))",False
SLK-0063,2019-04-17T16:40:14Z,Sentinel-1A,Sentinel1A_20190417_164014_357,Eastern Mediterranean Sea,dense_oil_zone,ambiguous,0.917,0.715,19.013,68.5,31.69811,32.32985,"POLYGON((32.35373 31.69623, 32.34759 31.71747, 32.33218 31.72183, 32.31282 31.71056, 32.30179 31.69655, 32.31068 31.68387, 32.33281 31.68042, 32.34548 31.68515, 32.35373 31.69623))",False
SLK-0039,2019-04-17T16:40:34Z,Sentinel-1A,Sentinel1A_20190417_164034_150,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.794,0.88,14.93,34.8,34.94823,29.66851,"POLYGON((29.69904 34.94993, 29.685 34.96261, 29.66216 34.97111, 29.65212 34.95259, 29.64599 34.94003, 29.66521 34.92456, 29.68009 34.93566, 29.69904 34.94993))",True
SLK-0057,2019-04-20T16:36:51Z,Sentinel-1B,Sentinel1B_20190420_163651_888,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.77,0.851,7.714,14.1,35.04095,30.60048,"POLYGON((30.61417 35.03976, 30.60842 35.05153, 30.59792 35.05142, 30.58283 35.04551, 30.58575 35.03296, 30.59399 35.02457, 30.61534 35.02807, 30.61417 35.03976))",False
SLK-0015,2019-04-20T16:37:16Z,Sentinel-1B,Sentinel1B_20190420_163716_956,Eastern Mediterranean Sea,full_coverage,natural_seep,0.774,0.514,0.719,71.6,31.91149,29.60483,"POLYGON((29.60967 31.91141, 29.60791 31.9144, 29.60297 31.91631, 29.60091 31.91277, 29.60011 31.90993, 29.6039 31.90776, 29.6075 31.90858, 29.60967 31.91141))",True
SLK-0024,2019-05-01T04:12:52Z,Sentinel-1A,Sentinel1A_20190501_041252_193,Eastern Mediterranean Sea,full_coverage,ambiguous,0.928,0.356,16.878,11.3,35.59096,32.16036,"POLYGON((32.18118 35.58953, 32.17866 35.60765, 32.15884 35.60587, 32.1428 35.59678, 32.13924 35.58312, 32.15404 35.57064, 32.17251 35.57563, 32.18118 35.58953))",False
