slick_id,rank,source_id,type,cpa,tcpa,drift_overlap,ais_gap_anomaly,behavioral_anomaly,fused_score,dominant_factor,navic_tracked
SLK-0001,1,351935494,vessel,0.73,0.86,0.656,0.073,0.405,0.617,tcpa,False
SLK-0002,1,209926680,vessel,0.579,0.372,0.587,0.19,0.193,0.432,drift_overlap,False
SLK-0003,1,DARK-7098,dark_vessel,0.655,0.673,0.728,0.849,0.517,0.689,ais_gap_anomaly,False
SLK-0004,1,538244758,vessel,0.678,0.668,0.764,0.18,0.174,0.568,drift_overlap,False
SLK-0005,1,636623223,vessel,0.741,0.638,0.869,0.205,0.269,0.613,drift_overlap,False
SLK-0005,2,450623522,vessel,0.722,0.904,0.584,0.07,0.11,0.581,tcpa,False
SLK-0005,3,538509058,vessel,0.639,0.929,0.494,0.092,0.27,0.564,tcpa,False
SLK-0006,1,237377494,vessel,0.863,0.859,0.538,0.166,0.269,0.633,cpa,False
SLK-0007,1,DARK-7472,dark_vessel,0.598,0.581,0.653,0.853,0.753,0.659,ais_gap_anomaly,False
SLK-0008,1,622061981,vessel,0.983,0.763,0.707,0.277,0.119,0.68,cpa,False
SLK-0008,2,622449662,vessel,0.585,0.99,0.792,0.084,0.176,0.612,tcpa,False
SLK-0008,3,DARK-2446,dark_vessel,0.428,0.441,0.518,0.952,0.607,0.546,ais_gap_anomaly,False
SLK-0009,1,248724699,vessel,0.546,0.718,0.99,0.312,0.274,0.615,drift_overlap,False
SLK-0009,2,351842304,vessel,0.926,0.758,0.484,0.225,0.045,0.602,cpa,False
SLK-0009,3,209662926,vessel,0.643,0.665,0.751,0.048,0.137,0.53,drift_overlap,False
SLK-0010,1,DARK-2545,dark_vessel,0.709,0.346,0.965,0.876,0.549,0.678,drift_overlap,False
SLK-0010,2,351607743,vessel,0.704,0.972,0.651,0.147,0.043,0.611,tcpa,False
SLK-0010,3,DARK-6414,dark_vessel,0.267,0.53,0.606,0.872,0.273,0.492,ais_gap_anomaly,False
SLK-0011,1,209462781,vessel,0.57,0.801,0.627,0.236,0.107,0.543,tcpa,False
SLK-0011,2,DARK-3162,dark_vessel,0.256,0.293,0.435,0.617,0.726,0.402,behavioral_anomaly,False
SLK-0012,1,237564903,vessel,0.952,0.832,0.67,0.033,0.02,0.635,cpa,False
SLK-0013,1,DARK-9121,dark_vessel,0.606,0.465,0.657,0.856,0.616,0.619,ais_gap_anomaly,False
SLK-0014,1,ZOHR-PLATFORM-14,infrastructure,0.99,0.057,0.756,0.027,0.178,0.484,cpa,False
SLK-0016,1,450785286,vessel,0.698,0.698,0.734,0.086,0.393,0.583,drift_overlap,False
SLK-0016,2,248252305,vessel,0.59,0.78,0.666,0.081,0.178,0.535,tcpa,False
SLK-0017,1,DARK-3272,dark_vessel,0.556,0.659,0.486,0.95,0.764,0.648,ais_gap_anomaly,False
SLK-0017,2,428793188,vessel,0.99,0.809,0.54,0.215,0.09,0.648,cpa,False
SLK-0017,3,622449837,vessel,0.617,0.367,0.763,0.237,0.182,0.483,drift_overlap,False
SLK-0019,1,271529394,vessel,0.99,0.91,0.632,0.11,0.094,0.677,cpa,False
SLK-0019,2,450535082,vessel,0.857,0.798,0.503,0.044,0.285,0.592,cpa,False
SLK-0020,1,450353431,vessel,0.99,0.673,0.657,0.084,0.154,0.625,cpa,False
SLK-0021,1,622517171,vessel,0.886,0.822,0.684,0.133,0.116,0.64,cpa,False
SLK-0022,1,DARK-4330,dark_vessel,0.462,0.148,0.475,0.808,0.595,0.451,ais_gap_anomaly,False
SLK-0023,1,428103077,vessel,0.968,0.621,0.836,0.107,0.173,0.646,cpa,False
SLK-0025,1,DARK-9998,dark_vessel,0.303,0.485,0.482,0.945,0.211,0.471,ais_gap_anomaly,False
SLK-0026,1,538425177,vessel,0.65,0.779,0.558,0.156,0.088,0.534,tcpa,False
SLK-0027,1,CALYPSO-RIG-27,infrastructure,0.922,0.053,0.564,0.021,0.104,0.416,cpa,False
SLK-0028,1,APHRODITE-RIG-28,infrastructure,0.99,0.07,0.99,0.046,0.09,0.528,cpa,False
SLK-0029,1,237965347,vessel,0.78,0.68,0.781,0.205,0.28,0.619,drift_overlap,False
